songs_links,songs_title_author,songs_progressions
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo310.html,Airegin - Miles Davis,"[['F-7', 'C79#', 'F-7', 'F79b', 'Bb-7', 'F79#', 'Bb-7', 'Bb-7'], ['Dbj7', '[D-7 G7]', 'Cj7', '[C#-7 F#7]', 'Bj7', '[C-7 F7]', 'Bbj7', 'Bbj7', 'Bb-7', 'Eb7', 'Abj7', '[Gm7b5 C7]'], ['F-7', 'C79#', 'F-7', 'F79b', 'Bb-7', 'F79#', 'Bb-7', 'Bb-7'], ['Dbj7', '[Dm7b5 G7]', '[Cm7b5 Gb7]', '[F7 B7]', 'Bb-7', 'Eb7', 'Ab6', '[Gm7b5 C7]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo378.html,Airegin - Sonny Rollins,"[['F-7', 'C79#', 'F-7', 'F79b', 'Bb-7', 'F79#', 'Bb-7', 'Bb-7'], ['Dbj7', '[D-7 G7]', 'Cj7', '[Db-7 Gb7]', 'Bj7', '[C-7 F7]', 'Bbj7', 'Bbj7', 'Bb-7', 'Eb7', 'Abj7', '[Gm7b5 C7]'], ['F-7', 'C79#', 'F-7', 'F79b', 'Bb-7', 'F79#', 'Bb-7', 'Bb-7'], ['Dbj7', '[Dm7b5 G7]', '[Cm7b5 Gb7]', '[F7 B7]', 'Bb-7', 'Eb7', 'Ab6', '[Gm7b5 C79b]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo154.html,Aisha - Eric Dolphy,"[['A-79', 'G-79', 'A-79', 'F-79', '[F-7 Bb7]', '[G-7 C79b]', '[A-7 D79b]', '[G-7 C7 F-7 E7]'], ['A-79', 'G-79']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo347.html,Alianca (2) - Paul Desmond,"[['Bb', 'Bb', 'A-7', 'D7', 'G-', 'G-', 'G-7', 'C7', 'C-7', 'F7', 'D-', 'G-', 'E-7', 'A7', 'D', 'F7'], ['Bb', 'Bb', 'A-7', 'D7', 'G-', 'G-', 'G-7', 'C7', 'C-', 'F7', 'D-', 'G7', 'C-7', 'F7', 'Bb', '[C-7 F7]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo346.html,Alianca - Paul Desmond,"[['Bb', 'Bb', 'A-7', 'D7', 'G-', 'G-', 'G-7', 'C7', 'C-7', 'F7', 'D-', 'G-', 'E-7', 'E-7', 'D', 'F7', 'F7', 'F7', 'A-7', 'D7', 'G-', 'G-', 'G-7', 'C7', 'C-', 'F7', 'D-', 'G7', 'C-7', 'F7', 'Bb', 'C-7']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo266.html,All the Things You Are - Lee Konitz,"[['F-7', 'Bb-7', 'Eb7', 'Abj7', 'Dbj7', 'G7', 'Cj7', 'Cj7'], ['C-7', 'F-7', 'Bb7', 'Ebj7', 'Abj7', 'D7', 'Gj7', 'Gj7'], ['A-7', 'D7', 'Gj7', 'Gj7', 'F#-7', 'B7', 'Ej7', 'C+7'], ['F-7', 'Bb-7', 'Eb7', 'Abj7', 'Dbj7', 'Db-7', 'C-7', 'Bo7', 'Bb-7', 'Eb7', 'Abj7', '[G7 C7]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo328.html,All the Things You Are - Milt Jackson,"[['F-7', 'Bb-7', 'Eb7', 'Abj7', 'Dbj7', 'G7', 'Cj7', 'Cj7'], ['C-7', 'F-7', 'Bb7', 'Ebj7', 'Abj7', '[A-7 D7]', 'Gj7', 'Gj7'], ['A-7', 'D79#', 'Gj7', 'Gj7', 'F#-7', 'B7', 'Ej7', 'C+7'], ['F-7', 'Bb-7', 'Eb7', 'Abj7', 'Dbj7', 'Db-7', 'C-7', 'Bo', 'Bb-7', 'Eb7', 'Abj7', '[G7 C7]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo342.html,All the Things You Are - Pat Metheny,"[['F-7', 'Bb-7', 'Eb7', 'Abj7', 'Dbj7', 'G7', 'Cj7', 'Cj7', 'C-7', 'F-7', 'Bb7', 'Ebj7', 'Abj7', 'D7', 'Gj7', 'Gj7'], ['A-7', 'D7', 'Gj7', 'Gj7', 'F#-7', 'B7', 'Ej7', 'C+7'], ['F-7', 'Bb-7', 'Eb7', 'Abj7', 'Dbj7', 'Db-7', 'C-7', 'Bo7', 'Bb-7', 'Eb7', 'Abj7', '[G7 C7]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo451.html,All the Things You Are - Zoot Sims,"[['F-7', 'Bb-7', 'Eb7', 'Abj7', 'Dbj7', '[D-7 G7]', 'Cj7', 'Cj7'], ['C-7', 'F-7', 'Bb7', 'Ebj7', 'Abj7', '[A-7 D7]', 'Gj7', 'Gj7'], ['A-7', 'D7', 'Gj7', 'Gj7', '[F#-7 ~]', 'B7', 'Ej7', 'C+7'], ['F-7', 'Bb-7', 'Eb7', 'Abj7', 'Dbj7', 'Db-7', 'C-7', 'Bo7', 'Bb-7', 'Eb7', 'Abj7', 'Abj7'], ['F-7', 'F-7']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo348.html,Alone Together - Paul Desmond,"[['C-6', '[Dm7b5 G79b]', 'C-6', '[Dm7b5 G79b]', 'C-6', '[Gm7b5 C79b]', 'F-7', 'F-7', '[A-7 D7]', '[F-7 Bb7]', 'Ebj7', '[Dm7b5 G7]', 'Cj7', '[Dm7b5 G7]'], ['C-6', '[Dm7b5 G79b]', 'C-6', '[Dm7b5 G79b]', 'C-6', '[Gm7b5 C79b]', 'F-7', 'F-7', '[A-7 D7]', '[F-7 Bb7]', 'Ebj7', '[Dm7b5 G7]', 'Cj7', 'Cj7'], ['Gm7b5', 'C79b', 'F-6', 'F-6', 'Fm7b5', 'Bb79b', 'Ebj7', '[Dm7b5 G79b]'], ['C-6', '[Dm7b5 G79b]', 'C-6', '[Dm7b5 G79b]', 'C-6', '[Ab7 G7]', 'C-6', '[Dm7b5 G7]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo413.html,Alone Together - Steve Lacy,"[['D-6', '[Em7b5 A79b]', 'D-6', '[Em7b5 A79b]', 'D-6', '[Am7b5 D79b]', 'G-7', 'G-7', '[B-7 E7]', '[G-7 C7]', 'Fj7', '[Em7b5 A7]', 'Dj7', '[Em7b5 A7]'], ['D-6', '[Em7b5 A79b]', 'D-6', '[Em7b5 A79b]', 'D-6', '[Am7b5 D79b]', 'G-7', 'G-7', '[B-7 E7]', '[G-7 C7]', 'Fj7', '[Em7b5 A7]', 'Dj7', 'Dj7'], ['Am7b5', 'D79b', 'G-6', 'G-6', 'Gm7b5', 'C79b', 'Fj7', '[Em7b5 A79b]'], ['D-6', '[Em7b5 A79b]', 'D-6', '[Em7b5 A79b]', 'D-6', '[Bb7 A7]', 'D-6', '[Em7b5 A7]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo341.html,Along Came Betty - Pat Martino,"[['Bb-7', '[B-7 E7]', 'Bb-7', '[B-7 E7]', 'Aj7', 'Ab7', 'Gj7', 'Gb7'], ['Gb-7', '[G-7 C7]', 'Gb-7', '[G-7 C7]', 'Fj7', 'A7', 'D-7', 'G7'], ['C-7', 'F7', '[Am7b5 D7]', 'G-7', 'Em7b5', 'A7', 'F-7', 'Bb7'], ['Bb-7', '[B-7 E7]', 'Bb-7', '[B-7 E7]', 'Cm7b5', 'F7', 'Bbm7b5', 'Eb7', 'Abj7', '[B-7 E7]']]"
