songs_links,songs_title_author,songs_progressions
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo153.html,245 - Eric Dolphy,"A1: ||F7   |Bb7   |F7   |F#-7 B7 |Bb7   |Bo   |E79# A7913b |A-7 Ab-7 |G-7   |Db-7 F#7 |B+7   |B+7   ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo165.html,245 - Freddie Hubbard,"A1: ||F7   |Bb7   |F7   |F#- B7 |Bb7   |Bo   |E79# Ab7913b |A-7 Ab-7 |G-7   |C#- F#7 |B+7   |B+7   ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo215.html,26-2 - John Coltrane,"A1: ||NC   ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo87.html,A Night in Tunisia - Clifford Brown,"A1: ||Eb7   |D-6   |Eb7   |D-6   |Eb7   |D-6   |Em7b5 A7 |D-6   ||
A2: ||Eb7   |D-6   |Eb7   |D-6   |Eb7   |D-6   |Em7b5 A7 |D-6   ||
B1: ||Am7b5   |D79b   |G-7   |G-7   |Cm7b5   |C79b   |Fj7   |Em7b5 A7 ||
A3: ||Eb7   |D-6   |Eb7   |D-6   |Eb7   |D-6   |Em7b5 A7 |D-6   ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo354.html,A Night in Tunisia - Pepper Adams,"A1: ||D-6   |Eb7   |D-6   |Eb7   |D-6   |Em7b5 A7 |D-6   ||
A2: ||Eb7   |D-6   |Eb7   |D-6   |Eb7   |D-6   |Em7b5 A7 |D-6   ||
B1: ||Am7b5   |D79b   |G-6   |G-7 C7 |Gm7b5   |C79b   |F6   |Em7b5 A7 ||
A3: ||Eb7   |D-6   |Eb7   |D-6   |Eb7   |D-6   |Em7b5 A7 |D-6   ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo426.html,Adam's Apple - Wayne Shorter,"A1: ||Ab7   |Ab7   |Ab7   |Ab7   |Ab7   |Ab7   |Ab7   |Ab7   |Gb7   |Gb7   |Gb7   |Gb7   |Ab7   |Ab7   |Ab7   |Ab7   |Ab-7   |Db7913   |Bb-7   |Eb7   |Ab-   |Ab-   |Bb-7/Eb   |Bb-7/Eb   ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo44.html,After Theatre Jump - Buck Clayton,"A1: ||Db Bb7 |Eb-7 Ab7 |Db Bb-7 |Eb-7 Ab7 |Db Db7 |Gb7 Gb- |Db Bb-7 |Eb-7 Ab7 ||
A2: ||Db Bb7 |Eb-7 Ab7 |Db Bb-7 |Eb-7 Ab7 |Db Db7 |Gb Gb- |Db Bb-7 |Eb-7 Ab7 ||
B1: ||C7   |C7   |F7   |F7   |Bb7   |Bb7   |Eb7   |Ab7   ||
A3: ||Db Bb7 |Eb-7 Ab7 |Db Bb-7 |Eb-7 Ab7 |Db Db7 |Gb Gb- |Db Bb-7 |Eb-7 Ab7 ||
I1: ||NC   ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo127.html,After Theatre Jump - Dickie Wells,"A1: ||Db Bb7 |Eb-7 Ab7 |F-7 Bb-7 |Eb-7 Ab7 |Ab-7 Db7 |Gb7 B7 |F-7 Bb-7 |Eb-7 Ab7 ||
A2: ||Db Bb7 |Eb-7 Ab7 |F-7 Bb-7 |Eb-7 Ab7 |Ab-7 Db7 |Gb7 B7 |F-7 Bb-7 |Eb7 Ab7 ||
B1: ||C7   |C7   |F7   |F7   |Bb7   |Bb7   |Eb7   |Ab7   ||
A3: ||Db Bb7 |Eb-7 Ab7 |F-7 Bb-7 |Eb-7 Ab7 |Ab-7 Db7 |Gb7 B7 |F-7 Bb-7 |Eb-7 Ab7 ||
I1: ||NC   ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo278.html,After Theatre Jump - Lester Young,"A1: ||Db Bb7 |Eb-7 Ab7 |F-7 Bb-7 |Eb-7 Ab7 |Ab-7 Db7 |Gb7 B7 |F-7 Bb-7 |Eb-7 Ab7 ||
A2: ||Db Bb7 |Eb-7 Ab7 |F-7 Bb-7 |Eb-7 Ab7 |Ab-7 Db7 |Gb7 B7 |F-7 Bb-7 |Eb7 Ab7 ||
B1: ||C7   |C7   |F7   |F7   |Bb7   |Bb7   |Eb7   |Ab7   ||
A3: ||Db Bb7 |Eb-7 Ab7 |F-7 Bb-7 |Eb-7 Ab7 |Ab-7 Db7 |Gb7 B7 |F-7 Bb-7 |Eb-7 Ab7 ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo184.html,Agitation - Herbie Hancock,"A1: ||NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   |NC   ||
B1: ||Db/Ab   |Db/Ab   |Db/Ab   |Db/Ab   |Db/Ab   |Db/Ab   |Db/Ab   |Db/Ab   |Db/Ab   |Db/Ab   |Db/Ab   |Db/Ab   |Db/Ab   |Db/Ab   |Db/Ab   |Db/Ab   ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo309.html,Agitation - Miles Davis,"A1: ||Gsus   |Gsus   |Gsus   |Gsus   |Gsus   |Gsus   |Gsus   |Gsus   |Gsus   |Gsus   ||
B1: ||Ab   |Db Ab |Ab Db |Ab   |Db Ab |Db   |Ab Db |Db Csus |Gsus   ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo310.html,Airegin - Miles Davis,"A1: ||F-7   |C79#   |F-7   |F79b   |Bb-7   |F79#   |Bb-7   |Bb-7   ||
B1: ||Dbj7   |D-7 G7 |Cj7   |C#-7 F#7 |Bj7   |C-7 F7 |Bbj7   |Bbj7   |Bb-7   |Eb7   |Abj7   |Gm7b5 C7 ||
A2: ||F-7   |C79#   |F-7   |F79b   |Bb-7   |F79#   |Bb-7   |Bb-7   ||
B2: ||Dbj7   |Dm7b5 G7 |Cm7b5 Gb7 |F7 B7 |Bb-7   |Eb7   |Ab6   |Gm7b5 C7 ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo378.html,Airegin - Sonny Rollins,"A1: ||F-7   |C79#   |F-7   |F79b   |Bb-7   |F79#   |Bb-7   |Bb-7   ||
B1: ||Dbj7   |D-7 G7 |Cj7   |Db-7 Gb7 |Bj7   |C-7 F7 |Bbj7   |Bbj7   |Bb-7   |Eb7   |Abj7   |Gm7b5 C7 ||
A2: ||F-7   |C79#   |F-7   |F79b   |Bb-7   |F79#   |Bb-7   |Bb-7   ||
B2: ||Dbj7   |Dm7b5 G7 |Cm7b5 Gb7 |F7 B7 |Bb-7   |Eb7   |Ab6   |Gm7b5 C79b ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo154.html,Aisha - Eric Dolphy,"A1: ||A-79   |G-79   |A-79   |F-79   |F-7 Bb7 |G-7 C79b |A-7 D79b |G-7C7F-7E7||
A2: ||A-79   |G-79   ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo347.html,Alianca (2) - Paul Desmond,"A1: ||Bb   |Bb   |A-7   |D7   |G-   |G-   |G-7   |C7   |C-7   |F7   |D-   |G-   |E-7   |A7   |D   |F7   ||
A2: ||Bb   |Bb   |A-7   |D7   |G-   |G-   |G-7   |C7   |C-   |F7   |D-   |G7   |C-7   |F7   |Bb   |C-7 F7 ||
"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo346.html,Alianca - Paul Desmond,"A1: ||Bb   |Bb   |A-7   |D7   |G-   |G-   |G-7   |C7   |C-7   |F7   |D-   |G-   |E-7   |E-7   |D   |F7   |F7   |F7   |A-7   |D7   |G-   |G-   |G-7   |C7   |C-   |F7   |D-   |G7   |C-7   |F7   |Bb   |C-7   ||
"
